uid,follower_uid
02a5db6fe1b1,ad5ae38543c0
02a5db6fe1b1,b58ed0a70c34
02a5db6fe1b1,c6cad6f389cf
02a5db6fe1b1,e4c0767f8717
02a5db6fe1b1,f4b09c1a5698
02a5db6fe1b1,f8fb2ce5c2b3
02b6014171a9,1edbf42e8a57
02b6014171a9,23f4de3f38ad
02b6014171a9,48fe556fabb4
02b6014171a9,5bb58645b759
02b6014171a9,5bfb91044df6
02b6014171a9,6d9bab2f23b9
02b6014171a9,820695667d95
02b6014171a9,9bcc2b61e92b
02b6014171a9,d8393d8d277f
02cdc396afe3,00c710bed7c2
02cdc396afe3,147480f42037
02cdc396afe3,1a2a8c59f657
02cdc396afe3,362e3ef9adfd
02cdc396afe3,973dc5969d9a
02cdc396afe3,a6db7fed82bc
02cdc396afe3,aaf81b2c152a
02cdc396afe3,d0bf8b3c1e77
02cdc396afe3,f79911c2a258
02d54c9aa017,0785d6993115
02d54c9aa017,428cc40ecd63
02d54c9aa017,5c0729e52a29
02d54c9aa017,5ea785f05a60
02d54c9aa017,655c9acd8be4
02d54c9aa017,8db94497c44c
02d54c9aa017,c6a0231db44b
02d54c9aa017,dab435e976a5
02d54c9aa017,e0084d098b41
02e52a81db81,478db54fbda3
02e52a81db81,9a1bac2a1f0b
02e52a81db81,bb3c71c7e14f
02e9b4217050,0ce6391db36c
02e9b4217050,a250288581c5
02e9b4217050,af3e6369d8ff
02ef2f1dc09a,18e3b4b95708
02ef2f1dc09a,297f5c84b32e
02ef2f1dc09a,53e8a41c8393
02ef2f1dc09a,aa4eb60b82d7
02ef2f1dc09a,b3a5ea560198
02ef2f1dc09a,b47270849255
02ef2f1dc09a,da1d8d0c22b7
02ef2f1dc09a,e020a71185ab
02ef2f1dc09a,ea027870620c
02fbb2f5a7d8,beac8d84f51a
02fbb2f5a7d8,cc56ca589143
02fbb2f5a7d8,edc9e5ff2af0
030313f88f3c,32a685479d98
030313f88f3c,3f05a572299a
030313f88f3c,66f2a2037698
030313f88f3c,79c6b46875a0
030313f88f3c,7ce1cf29a823
030313f88f3c,8937ba484ca3
030313f88f3c,c0af5069965e
030313f88f3c,d48e97c7d6d7
030313f88f3c,ff722310b2e8
031afdf9bb46,0c3b65dca47f
031afdf9bb46,1d322f122783
031afdf9bb46,211018fc1661
031afdf9bb46,2dc7edbafcbb
031afdf9bb46,8d6d968b5cd6
031afdf9bb46,8e5fed7be6c8
031afdf9bb46,a22d3bcf0331
031afdf9bb46,a8a1d568fa80
031afdf9bb46,fc6c1c41917d
0322a8b4344a,17ca5ec21c9e
0322a8b4344a,52463a64af79
0322a8b4344a,5a6834126780
0322a8b4344a,621bf8cfcb6e
0322a8b4344a,728f8ab0738b
0322a8b4344a,85cce1437f81
0322a8b4344a,9832a4debdaf
0322a8b4344a,b85629031228
0322a8b4344a,f096fcfe6292
032870494b87,0ba4964d5537
032870494b87,0dd0bb1c9679
032870494b87,62ed83eb63f1
032870494b87,8de739a0fe2a
032870494b87,a4bc35c55ae4
032870494b87,b8442c9a0520
032870494b87,cc1cb7134d2e
032870494b87,de8fb27fdd11
032870494b87,f8f0b0e87a07
0331df114ef9,0463955fa7cd
0331df114ef9,315b3473614e
0331df114ef9,4c9d3941b6d5
0331df114ef9,52953813ad25
0331df114ef9,a1566f34dac7
0331df114ef9,bc7197ef7596
0331df114ef9,c56a0e33b046
